pattern,match_type,business_category,nigp_class_3digit,nigp_item_5digit,nigp_match_level,notes
Veterans Distribution/$90.24/(2) Invs,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Payment to veterans distribution suggests a pass-through or grant disbursement to a veterans organization rather than pr"
Video Equipment for Taste of Chicago-TECHNOTRIX INC,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Video equipment for an event falls under Audio/Visual systems maintenance and repair, matching NIGP 939 (MAINTENANCE, TE"
"EDWARDS / POTTER ELECTRIC - Signaling, Horns, Strobes, Timers & Accessories",exact,Vehicles & Fleet,055,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Edwards/Potter Electric manufactures fire alarm signaling devices and emergency notification equipment; code 055 covers   [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
Grants/Theater Sector Work Groups,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Description explicitly identifies this as a grant-related funding mechanism for theater sector work groups, which is a s"
Greater Illinois Title 22-H-86 and 23-H-30,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Illinois Title references (22-H-86, 23-H-30) indicate statutory grant or pass-through funding disbursements rather than "
Grants/grants management system annual license fee,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a license fee for a grants management system, which is infrastructure supporting grant administration and pass-t"
Grants/Neighborhood Access Program panelist,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant-related funding disbursement or subgrant payment for panelist services under a neighborhood access progr"
Grants/Event booking at MALCOLM X COLLEGE,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant or pass-through funding disbursement for event booking at Malcolm X College, not a procurement of goods "
"Grant Agreement, IAP         ,",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Grant Agreement documentation indicates pass-through subgrant funding disbursement, which is the defining characteristic"
"Duraguard Laminate, Clear 0.5 mil Full Card 350 yield, color Ribbon YMCKT-KT",exact,"IT, Telecom & Audio/Visual",207,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a printer ribbon/cartridge product for color printing, directly mapped to NIGP 207 (Printer Accessories and Supp  [auto-corrected 2026-05-06: business_category aligned to canonical mapping]"
"Grant Agreement, CityArt",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Grant agreement with CityArt is a subgrant disbursement, not a commodity purchase."
"Grant Agreement, CityArts Smal",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant agreement disbursement to CityArts, which is a subgrant payment requiring category-specific handling wit"
"1/01/25-1/07/25-Comcast service Account  8771 01 001 0007473 billing date 12/05/2024-Invoice 8771010010007473JAN2025,2 Invoices $3411.25 and $ 563.75",exact,"IT, Telecom & Audio/Visual",725,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Comcast service is a telecommunications utility bill, directly matching the IT, Telecom & Audio/Visual category and NIGP"
"Grant Agreement, CityArts Small, Blair Thomas dba Chicago Int'l Puppet Festival",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant agreement disbursement to a cultural organization, which is a subgrant pass-through funding item."
"Grant Agreement, CityArts PINK",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Grant Agreement indicates a subgrant disbursement to CityArts PINK, which falls under the Grants & Pass-Through Funding "
"Grant Agreeement, CityArts Small",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Grant agreement for CityArts program is a pass-through subgrant disbursement."
"Grant Agreement, CARP       ,",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Description identifies this as a Grant Agreement, which is a subgrant disbursement requiring classification as Grants & "
"Grant Agreement, CARP   ,",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): CARP appears to be a grant or subgrant funding agreement, which falls under grants and pass-through funding with no NIGP"
1 Year Service Fee for P.O. Box# 66142 Date Notice: 04/29/2025,exact,Professional & Administrative Services,926,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Annual service fee for a P.O. Box is a recurring administrative service, matching NIGP 926 (Monthly Service Fee) which c"
"Grant Agreement, CARP,  ALBANY PARK THEATER PROJECT",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a subgrant disbursement to the Albany Park Theater Project under a grant agreement, which is classified as pass-"
Genetec Advantage   technical support   for Omnicast Enterprise   1 year,exact,"IT, Telecom & Audio/Visual",939,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Genetec Omnicast is video management software; annual technical support for this system is audio/visual system maintenan"
ALJ Trinkala March 2024,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This appears to be a pass-through funding or grant disbursement to ALJ Trinkala for March 2024, which falls under subgra"
"ESCO LIGHTING, INC.-LIGHTING,LIGHTING FIXTURES AND CONTROL PRODUCTS-AT A MARK UP OVER CONTRACTOR'S COST 23% MARK UP",exact,Facilities Operations & Maintenance,285,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Lighting fixtures and control products are standard facility maintenance equipment, directly matching NIGP 285 (Lighting"
GRANT AGREEMENT  BLACK DESIGNERS,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant disbursement to Black Designers, representing a subgrant allocation rather than a procurement of goods o"
"GRANT AGREEMENT, CHICAGO TORTURE JUSTICE MEMORIALS FOUNDATION, TORTURE JUSTICE MEMORIAL",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant disbursement to an external foundation for a memorial project, not a procurement of goods or services."
"GRANT AGREEMENT, UPTOWN UNITED, CP",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Grant agreement to Uptown United is a subgrant disbursement requiring Grants & Pass-Through Funding category with no NIG"
"GRANT AGREEMENT, CHINESE MUTUAL AID ASSOCIATION",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant agreement (subgrant disbursement) to an external organization, which falls under Grants & Pass-Through F"
"GRANT AGREEMENT, CP",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Grant agreement indicates subgrant disbursement, which falls under Grants & Pass-Through Funding with no NIGP class assi"
"GRANT AGREEMENT, CP, JUNETEENTH FAMILY FESTIVAL",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Grant agreement for Juneteenth Family Festival is a pass-through funding disbursement requiring no NIGP classification."
"GRENT AGREEMENT, THE ORIGINAL 64TH STREET BEACH DRUMMERS",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Grant agreement for community organization (64th Street Beach Drummers) indicates a pass-through funding disbursement ra"
"GRANT AGREEMENT, DR PEDRO ALBIZU CAMPOS PUERTO RICAN HIGH SCHOOL, TWH",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant agreement disbursement to a specific institution, which is a subgrant pass-through funding arrangement."
WAV LEASE SUBSIDY REIMBURSEMENT LICENSE #74366 - 2 APPLICATIONS,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a reimbursement/subsidy payment to support WAV (Wheelchair Accessible Vehicle) leasing programs, which is a pass"
WAV LEASE SUBSIDY REIMBURSEMENT #74298-,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a reimbursement/subsidy payment to the WAV (Women's Advancing Voices or similar public program), which is a pass"
"GRANT AGREEMENT, REFUGEE ACTION NETWORK, CP",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a subgrant disbursement to Refugee Action Network, a clear pass-through funding arrangement."
"GRANT AGREEMENT, TAPROOTS, TWH",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant agreement disbursement to an external organization (Taproots, TWH), which is a subgrant pass-through fun"
"GRANT AGREEMENT, TWH 18 STREET CAS DE CULTURA",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is explicitly a grant agreement disbursement, which falls under subgrant pass-through funding requiring no NIGP cla"
"GRANT AGREEMENT, TWH, RED CLAY DANCE COMPANY",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Grant agreement for external organization (Red Clay Dance Company) is a subgrant disbursement, not a procurement of good"
"GRANT AGREEMENT, SILVER ROOM SOUND SYSTEM BLOCK PARTY LLC, BLOCK PARTY",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant agreement disbursement to an external entity (Silver Room Sound System Block Party LLC), which qualifies"
WAV TAXICAB VEHCILEMAINTENANCE SUBSIDY TXICAB #6275TX,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Taxicab vehicle maintenance subsidy directly corresponds to vehicle repair labor services, which is NIGP class 928 (Vehi"
WAV CHAUFFEUR TAXICAB LEASE SUBSIDY #104791 - AUGUST & SEPT 2022,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a lease subsidy disbursement to support taxi services, classified as grant or pass-through funding rather than a"
WAV TAXICAB VEHICLE MAINTENACE SUBSIDY TAXICAB #3806TX,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Vehicle maintenance subsidy for a taxicab fleet vehicle directly maps to vehicle repairs and maintenance services (NIGP "
WAV TAXICAB VEHICLE MAINTENACE SUBSIDY TAXICAB #3243TX,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Maintenance subsidy for a taxicab vehicle clearly falls under vehicle maintenance and repair services."
"GRANT AGREEEMENT, CP, OH ARTS FOUNDATION",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant agreement disbursement to an arts foundation, which is a pass-through funding arrangement typical of sub"
"GRANT AGREEMENT, CP, CHICAGO LATINO THEATER ALLIANCE",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant agreement disbursement to an external organization (Chicago Latino Theater Alliance), which is a subgran"
"GRANT AGREEMENT, CP, BACK OF THE YRDS NEIGHBORHOOD COUNCIL",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant agreement disbursement to a neighborhood council organization, qualifying as pass-through funding with n"
"GRANT AGREEMENT, CP, CHICAGO BLUES REVIVAL",exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a grant agreement disbursement to an external organization (Chicago Blues Revival), which is a subgrant distribu"
WAV TAXICAB VEHICLE MAINTENANCE SUBSIDY TAXICAB #1495TX,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Maintenance subsidy for a taxicab vehicle directly corresponds to vehicle repair/maintenance services."
WAV TAXICAB VEHICLE MAINTENANCE SUBSIDY REIMBURSEMENT TAXICAB #3648TX,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Direct vehicle maintenance reimbursement for taxicab fleet aligns with Vehicles & Fleet category and NIGP 928 (Vehicle R"
WAV TAXICAB VEHICLE MAINTENANCE SUBSIDY #4840TX,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Taxicab vehicle maintenance subsidy directly relates to fleet vehicle repair and maintenance services."
GO Line of Credit Interest and Fees,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Interest and fees on a line of credit are financial pass-through costs with no direct procurement of goods or services; "
WAV TAXICAB VEHICLE MAINTENANCE SUBSIDY TAXICAB #3380TX,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): This is a vehicle maintenance subsidy for a taxicab, which directly corresponds to vehicle repair labor services (NIGP 9"
WAV TAXICAB  MAINTENACE SUBSIDY TAXICAB #2260TX & 1436TX,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Maintenance subsidy for specific taxicabs (fleet vehicles) clearly maps to vehicle repairs and maintenance services."
WAV TAXICAB VEHICLE MAINTENANCE SUBSIDY TAXICAB #3939TX,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Vehicle maintenance subsidy for a taxicab clearly falls under vehicle fleet maintenance services, mapped to NIGP 928 (ve"
WAV SUBSIDY REIMBURSEMENT - MARCH & JUNE 2022,exact,Grants & Pass-Through Funding,,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): WAV subsidy reimbursements are pass-through funding disbursements to subgrantees or beneficiaries, not procurement of go"
WAV TAXICAB VEHICLE MAINTENANCE SUBSIDY TAXICAB #4136TX,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Maintenance subsidy for a specific taxi vehicle (4136TX) directly aligns with vehicle repairs and maintenance labor serv"
WAV TAXICAB VEHICLE MAINTENANCE SUBSIDY TAXICAB #2178TX,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Taxicab maintenance subsidy for vehicle repairs and upkeep maps directly to vehicle fleet maintenance labor services."
WAV TAXICAB VEHICLE MAINTENANCE SUBSIDY TAXICAB #149TX-1 & 2,exact,Vehicles & Fleet,928,,broad,"AI-mined (Haiku 4.5, conf=high, row_count=2): Taxicab maintenance subsidy directly corresponds to vehicle repair labor services as defined in NIGP 928 (VEHICLE REPAIR"
